reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f5d9774c-5550-42b9-8d3c-65c97e9f8747,markus pedro,https://play-lh.googleusercontent.com/a/ACg8ocJTJjhUZHMLkQLG0vo9WNETUp9DEkfBjq8fZa5_OIXLdT-_Ng=mo,"Kalau buat harga tolong lebih di perhatikan. Jangan sesuka hati, jarak beberapa meter dengan lokasi awal harga sudah 2 kali lipat mahalnya. Dan lebih di perhatikan lagi untuk titik lokasi tujuannya. Di aplikasi Grab titik lokasi tujuan tidak sesuai dengan yg ada di lapangan, jdi saya harus ganti rute lokasi tujuan sehingga saya harus bayar tarif lebih mahal... Terimakasih semoga lebih di perhatikan..",1,5,5.387.1,18/12/2025 12:22,Halo Kak. Maaf ya buat enggak nyaman ðŸ™‡â€â™€ï¸ Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih ðŸ™,18/12/2025 14:33,5.387.1
f035e63f-ea83-406e-ac5b-a29e2a18c407,pumba philopater m. beau de miawmiaw,https://play-lh.googleusercontent.com/a/ACg8ocJzdKTQcV7x4mkeVJE2It6Y1GTGQI2VUdb2K_qlSGAsg7YR8g=mo,1. customer service tidak profesional + kurang kompeten 2. bot/ai dijaman skrg tidak memanusiakan pengguna. itu wajah anda 3. kecepatan respon dan penyelesaian masalah parah 4. semakin kesini kualitas apps dan manajemen spertinya makin parah 5. driver lama dan tidak segera cancel kalau tidak mau ambil. sedangkan customer di charge 3000 jika batal lol 6. manjemen woi,1,10,5.387.1,15/12/2025 3:10,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",15/12/2025 8:39,5.387.1
e08aae4e-b14e-4efc-a38b-530b322b1ce4,afwan,https://play-lh.googleusercontent.com/a/ACg8ocJFINRdXox3c38vARHItr6ujbfrRSVm4z0L8711Vrs8Av5ALw=mo,"aplikasi rada rada nggak bener, masa tidak ada fitur cancel pesanan, seharusnya kalau tidak ada fitur cancel setidaknya dikasih waktu, ini pesanan saya sudah 1 jam nggak ada driver yang ngambil tetep aja jalan terus aplikasinya, dana ovo saya kegantung, mohon maaf bintangnya turun drastis dari 5 jadi 1, mohon maaf juga saya uninstall",1,2,5.387.1,18/12/2025 13:38,Halo Kak. Maaf ya buat enggak nyaman ðŸ™‡â€â™€ï¸ Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih ðŸ™,18/12/2025 14:30,5.387.1
0e50c52b-7e27-4971-aa66-b6d00accc68b,Nur Hamida,https://play-lh.googleusercontent.com/a/ACg8ocJg-bSem5FK2gMbT2_hy85izcv_fIDCyBV_xQF5WoJ1XUMA9g=mo,tambah kesini tambah ga banget. Terakhir mitra pengemudi bilang kalo saya ga boleh pesan paket hemat karna berat badan saya berlebih. bolehkah seperti itu? kenapa tidak buat penyaringan dari aplikasi jadi untuk yang punyak bobot di atas rata2 di arahkan langsung ke motor ukuran XL.,1,34,5.386.0,30/11/2025 5:59,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",30/11/2025 8:11,5.386.0
b6a68400-8fd8-4dfa-94c0-a98a5a51116e,Widyani Mariska,https://play-lh.googleusercontent.com/a-/ALV-UjUI8WdePPhJYqPNhaqJEzh55Zw__8uB5ekjDzbTfl0x7c1qTbYO,"akhir2 dan belakangan ini grab food jadi lebih sering berubah estimasi jam selesainya dari yang di beritahukan dari awal. Tolong diperhatikan. soalnya rata2 yang pesan grabfood pasti sudah dalam keadaan lapar. jadi kalau tiba2 estimasi berubah gak sesuai dengan yang dijanjikan kan gimana? ini manusia yang mau makan loh, tolong lebih di perhatikan lagi.",1,6,5.387.1,15/12/2025 5:09,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",15/12/2025 8:35,5.387.1
86de33bd-6368-407a-afd1-ee426b98d01b,natalyaa margarethh,https://play-lh.googleusercontent.com/a/ACg8ocJVaZrC4wUssi__v_KoXciC_TUzbTtxEDusUKPgcI9CixQqRw=mo,"lemot,tidak akurat,respon lambat,customer service tidak kpmunikatif,tdk bisa berkomunikasi dgn chat , tidak bisa berkomunikasi 2 arah, tidak memenuhi pelayanan dg praktis dan tepat , jangkauan tidak luas, kalau cuaca hujan aplikasi langsung error .pkoknya ðŸ‘ŽðŸ»servisnya",2,8,5.386.0,14/12/2025 16:45,Halo Kak. Maaf ya buat enggak nyaman ðŸ™‡â€â™€ï¸ Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih ðŸ™,15/12/2025 14:13,5.386.0
f9971b50-476a-4e29-a1ee-7dc06c385e9a,makmun bakhtiar,https://play-lh.googleusercontent.com/a-/ALV-UjXNd_y4SC1Vj4NutTuTV22F-RvuB307g-DJv8_xsEdM1Jmpfwit,izin mengadukan kesalahan pembayaran. Saya pernah mengkomplain karena ojek tidak datang tetapi aplikasi tetap jalan sehingga berakibat duit yang sudah terpotong dikembalikan. tetapi setelah pengaduan saya ajukan ojek akhirnya datang. bagaimana solusinya saya mengembalikan duit yang sudah masuk ke rekening Ovo saya mohon solusinya Karena itu adalah hak dari ojek yang saya sangka batal datang.,5,266,5.386.0,02/12/2025 6:52,,,5.386.0
ab341115-d3a1-4f56-9e1c-2da95f107ece,Rara Anang,https://play-lh.googleusercontent.com/a/ACg8ocIttiLSJJjekDUUJCB7SIH718BxzcHGjgmTOKMo5p2DnVgMaw=mo,bayar full untuk makanan yang tidak saya terima + harus bayar lebih ke driver dengan dalih biaya admin. Tidak terima struk resmi dari resto + driver tidak sesuai SOP. benar benar pengalaman mengecewakan menggunakan grab. Sudah menghubungi layanan pelanggan tapi hasilnya nihil. tak ada solusi yang berarti,1,10,5.386.0,05/12/2025 15:19,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",07/12/2025 6:43,5.386.0
f885d023-5d23-4ece-ba7a-ef11d6dd118b,Aldi Saputro,https://play-lh.googleusercontent.com/a-/ALV-UjVxCHTSvNpwUaQkYtvjrTMbKMM__ZR8oYB6ATYfcOBT17k-6wI,gak ada penanganankah udah kali ini bug bisa 3 kali kah dalam satu orderan kendaraan tidak bergerak pertama kedua ketiga bergerak gak bisa di hubungi padahal sudah nunggu hampir setengah jam aku ada bukti beberapa skrenshot kalo perlu ini ada contoh pengemudinya ama chat chat nya atas nama suparmin plat AB1934VS toyota calya1.2 putih bergerak tapi malah menjauh di chat gak di bales masa bug bisa beberapa kali dalam satu orderan gak mungkin kan apa sebenarnya cuma main main saat menyediakan jasa?,1,3,5.387.1,16/12/2025 0:15,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",02/12/2025 0:05,5.387.1
5352ac99-edeb-4642-b5b9-735892d5a802,Lanastiana,https://play-lh.googleusercontent.com/a/ACg8ocILepmXEzfMml9Z4X7KB9MIdohHsg7iaoIZOmd0zy7OWhdd2Q=mo,"mohon maaf yang sebesar besarnya, tapi driver grab zaman sekarang kebanyakan ngambil pelanggan selalu pilihÂ² waktu. kalau jauh gamau di ambil, hujan gerimis dikit gamau ambil, dan itu cukup menyusahkan. okelah kalau susah pas waktu solat, tapi ini kadang ada driver yang deket tapi mreka sengaja gamau ambil ntah karna rutenya atau karna cuaca grimis dikit gitu",1,8,5.386.0,05/12/2025 11:25,Halo Kak. Maaf ya buat enggak nyaman ðŸ™‡â€â™€ï¸ Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih ðŸ™,05/12/2025 13:33,5.386.0
6ee7ace3-f171-42d7-b683-7c6f0c7d4ddd,Rindii Octa,https://play-lh.googleusercontent.com/a/ACg8ocIi2yIQQJFq9QFjjylhb706AEB7TVsZ2Db8oUdjNjG5dp55GA=mo,"minusss bgt di grabcar nya mau di cuaca hujan ataupun di cuaca cerah susah dapatinnya jadi gak ada bedanya, tolong dong dibantu tingkatkan lagi untuk car nya. kemarin dapat tapi di batalkan terus oleh drivernya 2 kali berturut turut di batalkan oleh driver kondisi waktu itu cerah gk hujan. jadi agak jengkel dengan grabcar nya ini. dan saat itu juga langsung beralih aja ke Ijo sebelah dan langsung dapat tidak ada yang namanya drama nunggu dan di batalkan",1,4,5.387.1,11/12/2025 3:15,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",12/12/2025 5:41,5.387.1
dfe92f24-d2f7-4074-b6a0-ba99a1130d99,Oka Bayu Pratama,https://play-lh.googleusercontent.com/a-/ALV-UjX52_qO6_z3z4bzCSRP9Q7kM8Thx9Cn4ytjApL1vPj2iKXqyi1h,"promo tiba-tiba gak bisa ke pakek padahal belum dipake. hanya karena udah masuk di halaman checkout, promo terus hilang. bugnya tolong diperbaiki.",1,5,5.387.1,13/12/2025 5:23,"Mohon maaf ya atas ketidaknyamanan yang terjadi. Apabila Kakak memiliki kendala saat menggunakan aplikasi Grab atau tidak nyaman dengan pelayanan kami, Kakak bisa memilih keluhan yang sesuai di link berikut ya https://grb.to/consumeridhelpcenter ðŸ™ Terima kasih",13/12/2025 6:42,5.387.1
